시군구명,행정동명,위도,경도,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,2021혼인,어린이보호구역현황,2021_한부모_가구수,2021_저소득_가구수,2021_예산현액,2021_세입,2021_세출,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,어린이집_수,2020GDP1인당,공동육아나눔터유무,유아인구,인구대비아동,20-40직장인구,20-40직장인구비,인구대비예산,20-40생활인구,한부모저소득평균
강남구,신사동,37.5240101,127.0227814,36058.96751,652.4260897,474.5883456,1508.580537,1977.378156,1765.308705,1849.638777,652.6175314,455.1282742,2322.15788,2023.497475,1985.842182,1593.742605,70.5,5,102,745,1571060,1665507,1352661,5010.885135,1375.945946,1623.810811,1072.885135,17,147023,0,2234.760241,0.061975159,4072.641892,0.81275898,43.56918982,15026.14632,423.5
강남구,논현1동,37.5115706,127.028461,43032.07709,566.4788194,230.8756524,2758.9941,3087.457877,2560.54963,2335.722372,462.2599946,210.298842,3389.547721,2996.532789,2621.05775,1877.799944,112,0,102,745,1571060,1665507,1352661,3035.684864,743.0248139,987.191067,670.3920596,3,147023,0,1469.913308,0.034158549,2400.607941,0.790796162,36.5090441,21627.66218,423.5
강남구,논현2동,37.517342,127.037213,43317.78047,1080.824464,402.8778092,2538.916543,3123.425895,2831.836991,2552.734924,765.5305213,318.697504,3074.378475,2830.984442,2588.732017,2051.285915,87,0,102,745,1571060,1665507,1352661,2866.681614,653.0672646,867.7757848,620.9932735,3,147023,0,2567.930299,0.059281207,2141.836323,0.74714831,36.26824789,21592.2952,423.5
강남구,삼성1동,37.5144424,127.062532,38513.91265,606.2010729,356.716865,2224.719326,2757.134054,2502.870123,2471.914081,781.7722873,381.6520704,2437.154491,2390.587086,2293.02568,1797.833592,43,0,102,745,1571060,1665507,1352661,11486.1106,2607.599078,3990.414747,2929.009217,6,147023,0,2126.342296,0.055209719,9527.023042,0.829438561,40.79201234,18875.23843,423.5
강남구,삼성2동,37.5112,127.04595,40004.19849,1421.652479,949.1414109,1879.37506,2315.605531,2238.168534,2369.962105,1016.910002,625.6059749,2147.130377,2085.623836,2132.204797,2102.058428,100,0,102,745,1571060,1665507,1352661,8468.520161,1998.346774,2896.612903,2085.237903,15,147023,0,4013.309867,0.100322217,6980.19758,0.824252342,39.27237788,17270.12867,423.5
강남구,대치1동,37.4931821,127.0567047,28487.77485,1380.218881,1920.46485,358.3295435,519.637659,888.9587368,1475.002494,1126.749147,1460.087015,488.4283614,475.6164224,804.7509284,1429.367682,27,0,102,745,1571060,1665507,1352661,1120.255814,176.8488372,371.0348837,321.0697674,5,147023,0,5887.519893,0.206668296,868.9534883,0.775674161,55.1485684,6440.091828,423.5
강남구,대치4동,37.4997415,127.0579127,38986.5046,1072.955251,1176.718275,1452.11061,1708.497225,1717.243076,2000.118937,1148.051196,1088.447793,1546.975937,1504.915744,1528.079094,1792.331882,53,0,102,745,1571060,1665507,1352661,5092.287425,1098.125749,1573.191617,1247.065868,8,147023,0,4486.172515,0.115069883,3918.383234,0.76947409,40.29753414,13250.27251,423.5
강남구,역삼1동,37.4954841,127.0333574,102244.8898,950.94375,414.1200008,7287.011745,7999.193089,6478.329345,5966.029639,847.2154277,379.3133974,8255.61988,7107.885372,6086.361618,4235.003191,204,0,102,745,1571060,1665507,1352661,16996.12258,3552.925806,5456.367742,4334.054839,11,147023,0,2591.592576,0.025346915,13343.34839,0.785081911,15.36565791,53415.43388,423.5
강남구,역삼2동,37.4959674,127.0468034,52718.81726,2030.805549,1383.448494,2204.87985,2701.334919,2749.441509,3244.826853,1830.24726,1433.936026,2542.799817,2314.210889,2625.923049,2760.647741,81,0,102,745,1571060,1665507,1352661,12344.11613,2692.548387,3621.858065,3278.477419,13,147023,0,6678.437329,0.126680333,9592.883871,0.777121972,29.80074443,21144.06463,423.5
강남구,도곡1동,37.488238,127.0390246,35248.67772,1646.888207,840.1462182,1123.416532,1420.080024,1504.806731,1599.692785,1602.006444,964.1406413,1188.162619,1330.16724,1729.65237,1636.009733,68,0,102,745,1571060,1665507,1352661,3008.978495,506.8709677,956.0537634,756.1290323,8,147023,0,5053.181511,0.143358045,2219.053763,0.737477442,44.57074993,11531.98803,423.5
