시군구명,행정동명,인구지수,예산복지지수,공동육아나눔터유무
중랑구,면목본동,10911.801466222554,1508492.86,0
중랑구,면목3.8동,7810.848248287747,1508492.86,1
중랑구,망우본동,16160.873725232916,1508492.86,0
성북구,돈암1동,5418.448038695636,1579830.63,0
성북구,돈암2동,6599.325391241822,1579830.63,0
성북구,안암동,9499.609020940563,1579830.63,0
성북구,보문동,6494.217838651512,1579830.63,0
성북구,정릉1동,6301.696120049593,1579830.63,0
성북구,정릉2동,8321.339036387018,1579830.63,1
성북구,정릉3동,6081.56607372172,1579830.63,0
성북구,정릉4동,7672.201213632893,1579830.63,0
성북구,길음1동,16850.92222595476,1579830.63,0
성북구,길음2동,7808.621759195176,1579830.63,0
성북구,월곡1동,10943.364099392227,1579830.63,0
성북구,월곡2동,9379.341032216147,1579830.63,0
성북구,장위1동,9035.850951189961,1579830.63,0
성북구,장위2동,4777.55160676214,1579830.63,0
성북구,장위3동,2876.8815695690314,1579830.63,0
성북구,성북동,8958.465415510542,1579830.63,0
성북구,삼선동,10572.355798646622,1579830.63,0
성북구,동선동,10219.026732642336,1579830.63,0
성북구,종암동,15527.942147507756,1579830.63,0
성북구,석관동,11079.305612637549,1579830.63,0
강북구,번1동,6875.555354046405,1347672.4,1
강북구,번2동,5575.944740995102,1347672.4,0
강북구,번3동,6452.772994672337,1347672.4,0
강북구,수유1동,7381.6827340425625,1347672.4,1
강북구,수유2동,7508.184501371018,1347672.4,0
강북구,수유3동,10842.838373261126,1347672.4,0
강북구,삼양동,9658.041959699372,1347672.4,0
강북구,미아동,8428.82735524632,1347672.4,0
강북구,송중동,14316.539979642697,1347672.4,0
강북구,송천동,10885.19932352161,1347672.4,0
강북구,삼각산동,10449.46539405478,1347672.4,0
강북구,우이동,7421.892752710713,1347672.4,0
강북구,인수동,11773.184218235196,1347672.4,0
도봉구,쌍문1동,7157.749350617126,1307291.73,0
도봉구,쌍문2동,7240.899159947454,1307291.73,0
도봉구,쌍문3동,6437.281096383154,1307291.73,1
도봉구,쌍문4동,6141.687770003444,1307291.73,0
도봉구,방학1동,9829.333690844876,1307291.73,0
도봉구,방학2동,4580.1640553520465,1307291.73,0
도봉구,방학3동,9016.507301654401,1307291.73,1
도봉구,창1동,9494.222304142044,1307291.73,0
도봉구,창2동,12144.11944519293,1307291.73,0
도봉구,창3동,4328.412499215965,1307291.73,0
도봉구,창4동,12248.3918255562,1307291.73,1
도봉구,창5동,8455.277164500267,1307291.73,1
도봉구,도봉1동,7111.658733969082,1307291.73,1
도봉구,도봉2동,8304.057631500476,1307291.73,0
노원구,월계1동,9441.289543444262,1905099.52,0
노원구,월계2동,8588.176034340913,1905099.52,0
노원구,월계3동,11502.77518311912,1905099.52,0
노원구,공릉2동,19475.519843799753,1905099.52,0
노원구,하계1동,10262.24928497319,1905099.52,0
노원구,하계2동,6431.69229585056,1905099.52,0
노원구,중계본동,9624.64136085433,1905099.52,0
노원구,중계1동,12473.469975694412,1905099.52,0
노원구,중계4동,6910.378392822597,1905099.52,0
노원구,상계1동,15912.423622143455,1905099.52,0
노원구,상계2동,11889.021757206967,1905099.52,0
노원구,상계5동,7464.540541248857,1905099.52,0
노원구,상계8동,8664.817746662628,1905099.52,0
노원구,상계9동,8231.123010978941,1905099.52,0
노원구,상계10동,5405.375724687949,1905099.52,0
노원구,상계3.4동,8319.695432930852,1905099.52,0
노원구,상계6.7동,20012.52210084829,1905099.52,0
노원구,중계2.3동,14136.375286210963,1905099.52,0
노원구,공릉1동,17962.13748288464,1905099.52,1
은평구,녹번동,14281.641603252747,1707859.6700000002,1
은평구,불광1동,12719.166591403618,1707859.6700000002,0
은평구,갈현1동,9471.337699738098,1707859.6700000002,0
은평구,갈현2동,9459.944082080292,1707859.6700000002,0
은평구,구산동,11007.185916985134,1707859.6700000002,0
은평구,대조동,17157.334992321772,1707859.6700000002,0
은평구,응암1동,10543.607941198039,1707859.6700000002,0
은평구,응암2동,6978.712461347351,1707859.6700000002,0
은평구,신사1동,10278.020209461649,1707859.6700000002,0
은평구,신사2동,5903.108749983288,1707859.6700000002,0
은평구,증산동,5496.600263048406,1707859.6700000002,0
은평구,수색동,5017.609783150398,1707859.6700000002,0
은평구,진관동,29381.65954372099,1707859.6700000002,0
은평구,불광2동,8958.9585846311,1707859.6700000002,0
은평구,응암3동,9899.919847726713,1707859.6700000002,0
은평구,역촌동,18272.221293812272,1707859.6700000002,0
서대문구,천연동,7022.47567952981,1173308.61,0
서대문구,홍제1동,9727.813856287406,1173308.61,1
서대문구,홍제3동,6606.454432019208,1173308.61,0
서대문구,홍제2동,4118.811537111736,1173308.61,0
서대문구,홍은1동,5832.0445556401055,1173308.61,0
서대문구,홍은2동,10528.7787067754,1173308.61,0
서대문구,남가좌1동,3453.140902891493,1173308.61,0
서대문구,남가좌2동,7984.80590999762,1173308.61,0
서대문구,북가좌1동,6478.077074617661,1173308.61,0
서대문구,북가좌2동,16206.370100431057,1173308.61,0
서대문구,충현동,17009.866719280253,1173308.61,0
서대문구,북아현동,16329.308340380441,1173308.61,0
서대문구,신촌동,20129.789288778986,1173308.61,0
서대문구,연희동,15518.340798474133,1173308.61,1
마포구,용강동,14451.250281223045,1319404.87,0
마포구,대흥동,8789.931122090975,1319404.87,0
마포구,염리동,5252.669840617928,1319404.87,0
마포구,신수동,7787.958672868171,1319404.87,0
마포구,서교동,26846.47748336299,1319404.87,0
마포구,합정동,9460.436487307856,1319404.87,1
마포구,망원1동,8419.961959688626,1319404.87,0
마포구,망원2동,7460.096549923872,1319404.87,0
마포구,연남동,7780.764826471725,1319404.87,0
마포구,성산1동,9303.899332675453,1319404.87,0
마포구,성산2동,15143.02483788373,1319404.87,0
마포구,상암동,21727.38286695777,1319404.87,0
마포구,도화동,7636.15314620818,1319404.87,0
마포구,서강동,11074.549133485714,1319404.87,0
마포구,공덕동,16587.326520742972,1319404.87,0
마포구,아현동,12099.179116319863,1319404.87,0
