통계청행정동코드,행자부행정동코드,시군구명,행정동명,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,2021혼인,어린이보호구역현황,2021_한부모_가구수,2021_저소득_가구수,2021_예산현액,2021_세입,2021_세출,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,어린이집_수,2020GDP1인당,공동육아나눔터유무
1116074,11500615,강서구,우장산동,33159.65256,1644.918129,959.1918653,1049.8526,1295.892361,1383.453539,1493.294382,1279.443706,823.4659268,1366.922562,1208.628743,1388.158154,1534.410454,101,3,355,1815,1392518,1406901,1238592,435.6532258,74.82258065,93.91935484,107.1451613,20,29043,0
1117051,11530510,구로구,신도림동,33371.8134,1608.016666,728.4762651,1221.112553,1646.558212,1514.403138,1473.543907,1815.622197,766.075621,1218.632978,1429.701004,1834.446615,1691.146638,168,4,226,1072,1111703,1144232,930281,1399.27957,247.9354839,425.0107527,376.0215054,24,32587,0
1117052,11530520,구로구,구로1동,16924.36279,1116.270321,495.2221461,588.9036613,718.9571437,679.6154041,754.1739515,1146.437796,502.8941695,507.101538,693.9164987,812.3101086,742.2639015,173,0,226,1072,1111703,1144232,930281,923.3047257,148.8800555,234.7965631,230.3192484,18,32587,0
1117054,11530540,구로구,구로3동,40645.08994,569.7880865,235.2950408,2755.066315,2977.786641,2598.90765,2724.229679,731.238341,300.8740739,2720.965328,2318.202049,2075.162176,1602.882066,122,0,226,1072,1111703,1144232,930281,16059.83871,3508.112903,5904.362903,3891.75,21,32587,0
1117055,11530550,구로구,구로4동,18135.13073,501.9914278,232.8821415,715.5247523,829.8793794,758.4046374,894.10496,394.6076102,189.1459418,625.280317,678.1879524,793.8800803,676.020917,88,0,226,1072,1111703,1144232,930281,151.0419162,18.39520958,30.79640719,40.1497006,16,32587,0
1117056,11530560,구로구,구로5동,32011.17177,845.9746976,290.5581854,1632.08926,1774.717569,1443.788654,1496.266227,881.608241,313.4930256,1733.789301,1659.97593,1640.506752,1184.222447,144,0,226,1072,1111703,1144232,930281,1813.790323,281.4677419,444.7688172,391.3978495,21,32587,0
1117061,11530720,구로구,고척1동,22290.75249,838.3643779,503.9307386,613.8970528,747.0842405,777.9050616,942.1431417,953.8695455,508.5866626,725.8497103,685.2406273,816.3854151,752.9951716,68,0,226,1072,1111703,1144232,930281,739.0860215,80.02150538,132.5591398,163.5268817,12,32587,0
1117062,11530730,구로구,고척2동,17651.19772,899.6409039,447.2287579,465.9602892,620.0321729,578.672022,749.043335,823.3558669,386.4595096,477.2554296,486.0607505,674.8352963,661.6079286,48,0,226,1072,1111703,1144232,930281,150.8513514,11.58108108,24.44594595,45.55405405,16,32587,0
1117064,11530750,구로구,개봉2동,22972.12494,1019.803495,397.2914723,710.0262893,879.1385434,809.9173799,955.5981952,964.2681058,378.0302059,726.4802529,829.0400427,953.0173089,804.3046345,101,0,226,1072,1111703,1144232,930281,662.3290323,112.7870968,156.2645161,157.683871,18,32587,0
1117065,11530760,구로구,개봉3동,17141.22186,859.2533821,377.9130671,522.6953052,634.0806078,635.4347813,737.1428676,780.3212577,367.0994431,440.5129918,529.4580839,685.2594094,631.9187836,56,0,226,1072,1111703,1144232,930281,233.3677419,37.57419355,45.16774194,54.4,9,32587,0
1117067,11530770,구로구,오류1동,15226.4148,429.4580497,178.6349412,701.567967,703.3577649,543.4827595,632.7151426,510.256894,199.9462773,718.3969445,701.846413,650.8137124,493.426398,130,0,226,1072,1111703,1144232,930281,821.9324324,96.02702703,140.5405405,206.5540541,8,32587,1
1117068,11530780,구로구,오류2동,51827.41534,3206.483254,1263.808056,1621.646802,2293.090811,2175.727185,2203.688404,3322.642194,1309.699519,1566.797905,1881.536848,2599.722449,2243.932046,115,0,226,1072,1111703,1144232,930281,315.2580645,59.16129032,99.06451613,73.35483871,30,32587,0
1117069,11530790,구로구,수궁동,22791.72551,925.6235202,490.9245532,695.2975294,856.5768001,883.7865012,906.719319,841.4428105,362.6502209,700.0237971,725.6959892,967.3682901,927.2981149,103,7,226,1072,1111703,1144232,930281,308.311828,20,34.61290323,61.88172043,11,32587,0
1117070,11530595,구로구,가리봉동,11453.13657,88.35843045,45.49141108,730.287252,822.9962588,594.7313686,714.4163888,84.50026946,44.04267758,635.1998909,519.717018,498.9304476,368.0378618,45,2,226,1072,1111703,1144232,930281,360.6158192,64.33898305,105.5367232,98.32768362,4,32587,1
1117071,11530530,구로구,구로2동,33775.29319,618.0025218,363.2744645,1397.340689,1663.681443,1583.744619,1840.446656,617.8650515,315.2372782,1295.661727,1266.883859,1459.247458,1288.003943,100,0,226,1072,1111703,1144232,930281,177.7580645,23.19892473,42.29569892,46.66129032,13,32587,0
1117072,11530740,구로구,개봉1동,29418.43861,1178.526832,538.1400975,997.146845,1196.046537,1047.459061,1229.067702,958.5700075,474.0983656,942.5565394,1135.02691,1158.900788,981.1053771,148,0,226,1072,1111703,1144232,930281,358.9548387,34.78709677,72.55483871,93.34193548,15,32587,0
1118051,11545510,금천구,가산동,58976.73459,620.584959,213.1576157,4676.007262,4879.873942,3974.115138,4026.183768,446.4308871,201.742935,4428.921117,3322.236862,2720.1572,2045.745286,167,4,188,919,773456,821254,655249,14631.07834,3390.470046,4660.064516,3434.723502,9,69304,0
1118052,11545610,금천구,독산1동,34164.34541,1138.117687,375.1632287,2006.459548,2020.536528,1580.345158,1600.699041,979.3467614,327.6009852,1725.624742,1711.911072,1585.596646,1220.219929,284,5,188,919,773456,821254,655249,1152.474654,118.3963134,219.7142857,246.562212,15,69304,0
1118053,11545620,금천구,독산2동,14707.6977,351.5312302,201.0358177,616.4842392,743.2493761,571.9790023,594.5986219,303.7556321,175.1621181,627.3811738,617.9700897,636.7294453,519.5895623,76,5,188,919,773456,821254,655249,319.5268817,39.46236559,64.87096774,84.52688172,12,69304,0
1118054,11545630,금천구,독산3동,22439.91135,494.2333607,231.1737676,1018.704181,1094.28082,910.4805174,940.8914843,461.324555,263.7089599,1090.528942,941.3552848,1006.290888,791.1379222,95,8,188,919,773456,821254,655249,352.6700508,33.49746193,54.59898477,71.70558376,12,69304,0
1118055,11545640,금천구,독산4동,11536.89631,226.4648019,145.6206087,462.3363479,582.4885493,449.2247284,489.4609293,218.8631329,130.4853812,512.3515947,465.6496705,467.7662089,390.9734606,55,2,188,919,773456,821254,655249,229,32.22580645,48.12903226,68.80645161,8,69304,0
1118057,11545670,금천구,시흥1동,28161.54709,989.3259769,464.6293416,1061.907344,1180.284004,1088.501549,1180.474781,912.259005,424.3913897,1060.480648,1092.119663,1138.603343,991.8471511,134,7,188,919,773456,821254,655249,624.0757576,102.2323232,157.8787879,129.8232323,25,69304,0
1118058,11545680,금천구,시흥2동,15786.4224,722.5055332,424.0802578,365.3751712,512.1174455,493.2997879,720.0562122,886.1049796,521.7077567,374.9344748,426.7101645,598.6211406,627.4669753,64,4,188,919,773456,821254,655249,741.477483,133.0144371,179.3403143,177.7909515,15,69304,0
1118059,11545690,금천구,시흥3동,10383.08006,288.8355649,144.0066426,336.7506865,447.4792859,443.5015878,548.1975597,380.258035,187.7696955,315.9823359,325.0079701,405.6364279,348.6617916,35,2,188,919,773456,821254,655249,321.8648649,32.83783784,67.66216216,83.39189189,4,69304,0
1118060,11545700,금천구,시흥4동,11927.63443,426.4177207,232.2296306,391.5206672,438.7260482,421.5744887,418.9529006,449.7854248,243.0786368,399.6297105,415.9375735,453.2351721,390.2362358,76,3,188,919,773456,821254,655249,91,7.032258065,14.88709677,28.17741935,19,69304,0
1118061,11545710,금천구,시흥5동,11970.84271,355.9806424,207.2450258,358.5214616,448.559674,376.1496298,518.2571132,419.2122787,274.4218328,360.9986169,370.5173482,364.9541574,415.5900927,75,7,188,919,773456,821254,655249,108.6290323,15.4516129,21.22580645,29.72580645,13,69304,0
1119054,11560540,영등포구,여의동,89003.62511,1626.37307,785.2512242,5424.393787,6604.771914,6131.043766,6057.973068,2001.126772,902.1358493,5029.302789,4785.006533,5280.056328,3861.67976,108,5,113,529,1002783,1060180,861532,25606.96129,4255.851613,8330.258065,7452.664516,27,101354,0
1119055,11560550,영등포구,당산1동,25280.20945,746.934287,259.0526504,1334.773773,1440.186163,1064.214434,1142.35912,519.894751,196.5545911,1353.728548,1361.758271,1321.683992,1014.572536,155,2,113,529,1002783,1060180,861532,1535.011976,273.4610778,462.2694611,359.2754491,10,101354,0
1119056,11560560,영등포구,당산2동,37245.43359,1405.797863,515.6431326,1989.107231,1944.073115,1568.983288,1523.520006,1375.160304,523.5434952,2437.808793,2351.231504,1995.205211,1401.080675,187,5,113,529,1002783,1060180,861532,2660.895161,438.5887097,507.516129,548.3225806,19,101354,0
1119061,11560610,영등포구,양평1동,19044.52916,786.2860579,253.6406605,1022.759667,1141.711241,951.1917187,959.9705327,645.7449022,232.9527049,1016.306563,1123.058362,1170.844704,836.2489049,159,6,113,529,1002783,1060180,861532,890.3333333,82.92473118,193.5806452,221.5376344,10,101354,0
1119062,11560620,영등포구,양평2동,29202.30736,979.6673262,444.1284065,1657.484569,1955.485864,1467.789198,1449.80221,711.645311,318.0168172,1626.507053,1767.759415,1672.652632,1165.732985,171,3,113,529,1002783,1060180,861532,1220.245161,196.7677419,407.2064516,313.8193548,17,101354,0
1119063,11560630,영등포구,신길1동,18065.19565,363.6534484,220.9114935,939.8063781,835.6778185,749.8394,745.5054936,502.0925538,249.307352,881.6579453,751.8944579,733.9446606,595.5152511,98,4,113,529,1002783,1060180,861532,292.547486,47.10055866,68.68715084,67.25139665,9,101354,1
1119065,11560650,영등포구,신길3동,13253.77338,474.4306126,222.6600209,488.2062845,592.178884,485.1600622,529.5418695,468.7476099,219.3607531,463.2910134,525.9626374,556.9966786,442.8672763,52,4,113,529,1002783,1060180,861532,97.91764706,10.16470588,23.01176471,29.30588235,6,101354,0
1119066,11560660,영등포구,신길4동,7903.974723,189.1341376,127.3922225,264.7786632,382.7883095,298.4513479,374.9243586,184.352874,122.0605111,285.7353426,319.5751339,340.4552869,296.6969827,52,5,113,529,1002783,1060180,861532,417.7741935,69.06451613,104.7419355,102.3870968,11,101354,0
1119067,11560670,영등포구,신길5동,8286.172614,211.6912366,158.5868457,257.2379639,405.60377,365.8348643,353.0263363,312.7575738,171.512159,238.5160226,297.2295731,413.4510154,347.5981759,62,3,113,529,1002783,1060180,861532,161.2419355,14.79032258,35.77419355,58.83870968,3,101354,0
1119068,11560680,영등포구,신길6동,23283.93451,995.3159537,479.0055027,802.3809907,1074.797376,941.429835,984.3082464,1117.896222,469.0342464,902.683224,948.9985857,1180.43347,989.9177308,102,4,113,529,1002783,1060180,861532,340.9056604,43.67924528,84.22641509,92.75471698,13,101354,0
1119069,11560690,영등포구,신길7동,13713.34199,606.2187436,300.2703187,482.8639597,597.4421127,518.0793381,559.9351289,704.9469936,301.8476171,490.1967436,509.290944,688.5835948,567.4249464,79,3,113,529,1002783,1060180,861532,858.8387097,25.90322581,87.90322581,156.7903226,10,101354,0
1119070,11560700,영등포구,대림1동,16970.97886,355.7276085,242.2915509,556.1858543,779.7977402,685.7656086,784.2140905,501.702779,230.4327472,576.3661709,584.8593068,812.9360379,665.8286426,57,3,113,529,1002783,1060180,861532,391.4758065,102.2016129,97.55645161,85.84677419,8,101354,0
1119071,11560710,영등포구,대림2동,18457.95907,248.4588214,121.4221254,862.4275175,985.0534845,838.3072949,1008.811019,252.9376669,124.2503448,692.0304297,738.6186492,778.9721679,657.0446369,42,4,113,529,1002783,1060180,861532,145.5612903,12.64516129,18.10322581,27.28387097,5,101354,0
1119072,11560720,영등포구,대림3동,25905.11915,609.6207146,325.9428633,1062.207469,1287.638112,1032.356823,1267.013065,555.4426805,238.7132187,1010.819012,1056.984762,1089.171972,913.6679721,98,8,113,529,1002783,1060180,861532,625.9516129,78.06451613,120.5080645,157.0806452,9,101354,0
1119073,11560515,영등포구,영등포본동,18862.37297,650.4309294,248.2001964,843.2012436,959.3848098,740.8351895,763.4373913,507.6393399,184.275817,905.9465445,866.5323293,817.0618011,652.195477,90,0,113,529,1002783,1060180,861532,557.2365591,82.74193548,142.6989247,141.7419355,13,101354,0
1119074,11560535,영등포구,영등포동,50610.1291,1045.399927,410.7581091,3196.50843,3052.389939,2220.799158,2222.163892,1447.151244,446.8046876,3694.661803,3119.071322,2689.159666,1897.063458,252,5,113,529,1002783,1060180,861532,1219.479798,202.1313131,333.1666667,286.1767677,9,101354,0
1119075,11560585,영등포구,도림동,14516.9188,500.5792719,196.1924999,651.1959304,743.9217987,563.7267976,631.8282549,434.490444,158.4366891,581.1802521,694.5176203,681.9417452,552.1199837,117,1,113,529,1002783,1060180,861532,102.8190476,9.60952381,17.06666667,24.87619048,9,101354,0
1119076,11560605,영등포구,문래동,39607.27439,1585.959017,697.3271427,1631.873049,2157.357819,2056.421767,1982.150063,1433.194332,624.189099,1623.175809,1897.481465,2216.562276,1986.476054,198,5,113,529,1002783,1060180,861532,1143.411429,176.3485714,274.4,304.68,27,101354,0
1120052,11590520,동작구,노량진2동,17902.07355,214.6479738,141.1266405,977.8686085,814.7764142,643.2941825,744.7620358,204.1909088,133.5095948,947.8747909,694.2528513,626.905041,546.6094126,35,0,104,720,1102876,1127620,810242,142.3904762,26.02857143,32.55238095,30.7047619,1,16559,0
1120053,11590530,동작구,상도1동,45465.28592,1683.879791,739.9782933,1443.166781,1578.067347,1500.297616,1487.205847,1689.711582,686.8104135,1931.791199,1480.136785,1721.448286,1581.560659,164,7,104,720,1102876,1127620,810242,433.3309353,62.15107914,110.2805755,114.7410072,15,16559,0
1120054,11590540,동작구,상도2동,22580.88685,1161.128477,425.9365103,803.7016235,926.2043657,814.1623272,926.607732,987.3574225,383.4978573,971.5862106,876.4738815,1079.023022,867.5016958,93,3,104,720,1102876,1127620,810242,204.2297297,24.02702703,37.63513514,51.44594595,16,16559,0
1120055,11590550,동작구,상도3동,18027.19908,729.2718845,329.967868,753.0958202,773.6792289,607.3042527,678.7602657,590.3173583,254.6875481,905.4482465,807.4549377,830.3095378,670.7722553,108,3,104,720,1102876,1127620,810242,141.4666667,13.76190476,30.0952381,38.1047619,7,16559,0
1120056,11590560,동작구,상도4동,22012.93157,936.0160052,434.9072132,854.1343135,924.3857696,776.7632015,823.2116414,1045.247951,395.2131711,866.9490544,938.8479349,1024.555739,793.6129703,96,5,104,720,1102876,1127620,810242,185.8474576,29.81355932,39.75423729,46.87288136,13,16559,0
1120063,11590620,동작구,사당1동,26004.1697,678.4402277,263.4719325,1427.193999,1262.646586,965.2243755,1016.036199,631.431974,230.3268953,1671.566906,1367.135577,1200.004792,960.111849,149,4,104,720,1102876,1127620,810242,619.327957,117.9892473,154.7580645,169.0591398,6,16559,0
1120065,11590640,동작구,사당3동,20272.76193,914.8294138,390.2239901,639.1545543,832.9637019,719.9691547,853.1050283,857.5244198,340.5266506,641.5461336,792.0027584,1021.872388,835.4072356,89,3,104,720,1102876,1127620,810242,66.46428571,7.035714286,13.61904762,17.07142857,10,16559,0
1120066,11590650,동작구,사당4동,12804.6076,515.9144209,201.6464359,566.1360797,590.3169459,490.6654905,539.2731506,346.0076145,131.9899144,628.7005867,625.6345816,558.005324,485.1504513,66,0,104,720,1102876,1127620,810242,357.5142857,27.40952381,53.11428571,69.12380952,9,16559,0
1120067,11590651,동작구,사당5동,11328.27399,431.8984811,200.6133547,406.57089,491.1991281,459.4730711,469.5592344,458.7857251,197.5455591,453.5736689,475.830797,575.1025004,507.427956,103,4,104,720,1102876,1127620,810242,174.8870968,29.82258065,34.64516129,41.43548387,4,16559,0
1120068,11590660,동작구,대방동,42456.00768,1110.760332,853.8399052,1618.866713,1625.827861,1562.137086,1775.111373,1272.624536,976.7480197,1864.17417,1617.662854,1718.975493,1683.647479,139,8,104,720,1102876,1127620,810242,3508.464516,610.5419355,655.9741935,653.4193548,14,16559,0
1120069,11590670,동작구,신대방1동,16802.19747,581.4067225,375.1737251,577.6128914,651.7538222,577.5507223,800.0551101,647.8374251,450.5222156,674.893632,578.1966326,684.0424096,634.8148591,90,0,104,720,1102876,1127620,810242,142,14.03225806,35.80645161,43.09677419,10,16559,0
1120070,11590680,동작구,신대방2동,24344.70112,847.0606816,451.3540614,994.5902694,1106.42109,995.7775846,1123.334641,837.1779704,412.5634915,1267.609585,1079.429662,1126.798847,976.1446231,68,0,104,720,1102876,1127620,810242,2145.122581,383.1225806,761.2580645,594.1032258,13,16559,0
1120071,11590605,동작구,흑석동,33009.96782,1213.353309,563.3415982,928.7069098,1133.340115,1075.602171,1200.252685,1099.835636,489.8172425,1482.337575,966.4131776,1357.61049,1049.228659,109,8,104,720,1102876,1127620,810242,109.8232323,18.81818182,23.76262626,28.07575758,11,16559,0
1120072,11590510,동작구,노량진1동,37045.22898,933.6395917,410.708768,2357.371892,1823.43687,1283.271691,1284.476779,719.0222723,332.9870544,2309.234815,1480.571254,1409.841034,1083.577505,127,5,104,720,1102876,1127620,810242,609.7664671,65.56287425,159.1017964,163.8383234,15,16559,0
