행자부행정동코드,시군구명,행정동명,공동육아나눔터유무,유아인구,필터링,위도,경도
11170690,용산구,서빙고동,0,1537.295578,0,37.52246962,126.9883765
11170700,용산구,보광동,0,656.1993299,0,37.52587096,127.0012626
11170555,용산구,청파동,0,1489.376532,0,37.54785722,126.9671666
11170560,용산구,원효로1동,0,1912.750914,0,37.53747049,126.9665602
11170625,용산구,한강로동,0,2758.99362,0,37.52918454,126.9678552
11170685,용산구,한남동,0,2074.44508,0,37.53710166,127.005801
11200520,성동구,왕십리2동,0,1387.908685,0,37.56149776,127.0276904
11200540,성동구,마장동,0,1847.733587,0,37.56763673,127.0404901
11200550,성동구,사근동,0,1253.411852,0,37.558015,127.0454347
11200560,성동구,행당1동,0,1568.506183,0,37.55901978,127.0360566
11200570,성동구,행당2동,0,2715.517672,0,37.55667576,127.0295034
11200580,성동구,응봉동,0,1599.806363,0,37.5509888,127.0339822
11200590,성동구,금호1가동,1,1925.470302,0,37.55366878,127.0250557
11200620,성동구,금호4가동,0,1560.30774,0,37.54459485,127.0246
11200650,성동구,성수1가1동,0,1484.759039,0,37.54042032,127.0410443
11200660,성동구,성수1가2동,0,1582.284239,0,37.54907374,127.0439521
11200670,성동구,성수2가1동,0,1533.213398,0,37.5366552,127.0552814
11200690,성동구,성수2가3동,0,1580.535821,0,37.54554228,127.0581429
11200720,성동구,송정동,0,585.5658747,0,37.55233315,127.065698
11200790,성동구,용답동,0,1129.040386,0,37.55854018,127.0578488
11200535,성동구,왕십리도선동,0,3473.611869,0,37.56679117,127.0295695
11200615,성동구,금호2.3가동,0,2682.852607,0,37.55142836,127.0198922
11200645,성동구,옥수동,0,3990.724023,0,37.54196706,127.0161757
11215710,광진구,화양동,0,1421.415634,0,37.54326499,127.0734599
11215730,광진구,군자동,0,1021.665451,0,37.55306569,127.0736809
11215740,광진구,중곡1동,0,1268.127341,0,37.5620373,127.0777222
11215750,광진구,중곡2동,0,1861.48069,0,37.55890871,127.084587
11215760,광진구,중곡3동,0,1448.625691,0,37.56785113,127.0819697
11215770,광진구,중곡4동,0,2548.730522,0,37.56391182,127.0944481
11215780,광진구,능동,0,1630.593443,0,37.55065718,127.0816453
11215850,광진구,구의1동,0,2283.104764,0,37.5414904,127.0860324
11215860,광진구,구의2동,0,2457.912443,0,37.55100224,127.0944503
11215870,광진구,구의3동,0,3675.281414,0,37.53509206,127.0952359
11215810,광진구,광장동,0,6665.49381,1,37.54828309,127.1048726
11215820,광진구,자양1동,0,1698.122179,0,37.53554348,127.0804154
11215830,광진구,자양2동,0,2436.773021,0,37.52933469,127.0832539
11215840,광진구,자양3동,0,2940.427091,0,37.5316904,127.0711983
11215847,광진구,자양4동,0,1595.459655,0,37.53389181,127.0637659
11230710,동대문구,회기동,0,1360.44105,0,37.59370059,127.051407
11230720,동대문구,휘경1동,0,943.9838396,0,37.59187265,127.0624745
11230730,동대문구,휘경2동,0,1945.127857,0,37.58650599,127.0664358
11230705,동대문구,청량리동,0,1205.659994,0,37.58894055,127.0451188
11230536,동대문구,용신동,1,2165.509918,1,37.57561621,127.0322863
11230545,동대문구,제기동,1,2160.815274,0,37.58367676,127.0372424
11230560,동대문구,전농1동,0,2958.979381,0,37.57901159,127.051048
11230570,동대문구,전농2동,0,2376.633935,0,37.58072119,127.0611441
11230610,동대문구,답십리2동,0,2003.04572,0,37.57089199,127.0611138
11230650,동대문구,장안1동,0,2944.55621,1,37.56623145,127.0685899
11230660,동대문구,장안2동,0,3831.666372,0,37.57576022,127.0725385
11230740,동대문구,이문1동,0,1413.99404,0,37.59722176,127.0602927
11230750,동대문구,이문2동,0,1863.23255,0,37.60283343,127.0674922
11230600,동대문구,답십리1동,0,3104.448895,0,37.5709437,127.0516992
11260520,중랑구,면목2동,0,2198.372712,0,37.58937783,127.0781438
11260540,중랑구,면목4동,0,2039.182761,0,37.57347748,127.0864748
11260550,중랑구,면목5동,0,1235.305099,0,37.58297244,127.0796656
11260570,중랑구,면목7동,0,1738.075126,0,37.5772948,127.0926912
11260580,중랑구,상봉1동,0,2250.401976,0,37.60202536,127.0894684
11260590,중랑구,상봉2동,0,1451.038719,0,37.59424491,127.0838977
11260600,중랑구,중화1동,0,2229.299404,0,37.60228732,127.0831492
11260610,중랑구,중화2동,0,1956.634253,0,37.59872325,127.0752082
11260620,중랑구,묵1동,0,3160.500029,0,37.61373601,127.0824505
11260630,중랑구,묵2동,0,1810.009009,0,37.61037218,127.0746657
11260660,중랑구,망우3동,0,1169.003268,0,37.5918077,127.1029395
11260680,중랑구,신내1동,0,5283.63754,0,37.61280175,127.1045067
11260690,중랑구,신내2동,0,2032.795022,0,37.61095054,127.0916163
11260565,중랑구,면목본동,0,2191.61935,0,37.58834061,127.0895305
11260575,중랑구,면목3.8동,1,1594.883003,0,37.58459652,127.0973813
11260655,중랑구,망우본동,0,4087.859608,1,37.6019869,127.107536
11290580,성북구,돈암1동,0,1548.179104,0,37.59932704,127.0240416
11290590,성북구,돈암2동,0,2477.781491,0,37.59727529,127.0116292
11290600,성북구,안암동,0,1091.920942,0,37.58725171,127.027309
11290610,성북구,보문동,0,1418.950098,0,37.58260326,127.0192189
11290620,성북구,정릉1동,0,2103.543076,0,37.60326167,127.0166528
11290630,성북구,정릉2동,1,2414.750607,0,37.60379361,127.0081182
11290640,성북구,정릉3동,0,1294.577201,0,37.61226303,126.993765
11290650,성북구,정릉4동,0,2084.061961,0,37.62351062,126.9951801
11290660,성북구,길음1동,0,7560.545772,0,37.60811224,127.0197352
11290685,성북구,길음2동,0,2277.069681,0,37.6079711,127.027231
11290715,성북구,월곡1동,0,3739.499042,0,37.60787813,127.0364479
11290725,성북구,월곡2동,0,2353.77355,0,37.60329982,127.0451927
11290760,성북구,장위1동,0,2589.205343,0,37.61494425,127.0442649
11290770,성북구,장위2동,0,1069.916213,0,37.61222375,127.0517267
11290780,성북구,장위3동,0,742.4985722,0,37.61817789,127.0534944
11290525,성북구,성북동,0,2310.353693,0,37.59586828,126.9961501
11290555,성북구,삼선동,0,2308.965692,0,37.5866188,127.0117956
11290575,성북구,동선동,0,2212.982638,0,37.59373543,127.0184261
11290705,성북구,종암동,0,4248.242898,0,37.59725007,127.0333744
11290810,성북구,석관동,0,2749.10715,0,37.60826024,127.0613359
11305590,강북구,번1동,1,1114.745849,0,37.63762597,127.030545
11305600,강북구,번2동,0,1366.792112,0,37.6295153,127.0347946
11305606,강북구,번3동,0,1828.548627,0,37.62378241,127.0423359
11305610,강북구,수유1동,1,1742.40436,0,37.6299267,127.0088389
11305620,강북구,수유2동,0,1774.628748,0,37.64540182,127.0195037
11305630,강북구,수유3동,0,1705.403893,0,37.64045508,127.0235463
11305534,강북구,삼양동,0,2540.244275,0,37.62379262,127.0146843
11305535,강북구,미아동,0,1357.052272,0,37.62870001,127.0262927
11305545,강북구,송중동,0,3419.078988,1,37.6177049,127.0329218
11305555,강북구,송천동,0,2582.133622,0,37.61822155,127.0248713
11305575,강북구,삼각산동,0,4280.029504,0,37.61712721,127.0168306
11305645,강북구,우이동,0,1687.643233,0,37.66035273,127.000323
11305660,강북구,인수동,0,3183.880191,0,37.63764065,127.003963
11320660,도봉구,쌍문1동,0,1883.64579,0,37.65302538,127.0195119
11320670,도봉구,쌍문2동,0,2009.581643,0,37.65706204,127.0370019
11320680,도봉구,쌍문3동,1,1567.154802,0,37.64768718,127.0305863
11320681,도봉구,쌍문4동,0,1930.44163,0,37.65555058,127.0304077
11320690,도봉구,방학1동,0,2467.429929,0,37.66503304,127.0435171
11320700,도봉구,방학2동,0,1092.032855,0,37.66914508,127.0322602
11320710,도봉구,방학3동,1,2925.872809,0,37.66279624,127.0234695
11320511,도봉구,창1동,0,2367.739222,0,37.64713518,127.0435641
11320512,도봉구,창2동,0,3133.02233,0,37.64262634,127.0368249
11320513,도봉구,창3동,0,1216.286966,0,37.63736038,127.0416275
11320514,도봉구,창4동,1,3220.095615,0,37.65257763,127.0509264
11320515,도봉구,창5동,1,2384.647831,0,37.65535977,127.0427663
11320521,도봉구,도봉1동,1,1543.980628,0,37.68508409,127.0267942
11320522,도봉구,도봉2동,0,2242.914466,0,37.68118802,127.0477921
11350560,노원구,월계1동,0,2293.642753,1,37.62180521,127.0586035
11350570,노원구,월계2동,0,2590.639376,1,37.63407486,127.0512066
11350580,노원구,월계3동,0,3744.05919,1,37.62465546,127.0648918
11350600,노원구,공릉2동,0,5622.800834,1,37.63161361,127.0942279
11350611,노원구,하계1동,0,2487.879423,1,37.63861785,127.0748088
11350612,노원구,하계2동,0,1950.712136,1,37.63483892,127.0648229
11350619,노원구,중계본동,0,3913.215233,1,37.64813647,127.0857615
11350621,노원구,중계1동,0,5293.499867,1,37.65001713,127.0735009
11350624,노원구,중계4동,0,2198.718914,1,37.65884697,127.0822421
11350630,노원구,상계1동,0,4830.815113,1,37.68326823,127.065333
11350640,노원구,상계2동,0,2928.734544,1,37.65648818,127.0672655
11350670,노원구,상계5동,0,1822.339369,1,37.66322072,127.0695988
11350700,노원구,상계8동,0,3506.366333,1,37.66629013,127.053651
11350710,노원구,상계9동,0,2734.649248,1,37.66807013,127.0624959
11350720,노원구,상계10동,0,1405.217482,1,37.65964375,127.0583985
11350665,노원구,상계3.4동,0,1961.087311,1,37.67514556,127.0832669
11350695,노원구,상계6.7동,0,5618.185902,1,37.64874987,127.0600922
11350625,노원구,중계2.3동,0,4529.772427,1,37.64334422,127.0658879
11350595,노원구,공릉1동,1,4477.403039,1,37.62411899,127.0727701
11380510,은평구,녹번동,1,3234.808987,0,37.60541499,126.9350497
11380520,은평구,불광1동,0,3106.819404,0,37.61731254,126.9392715
11380551,은평구,갈현1동,0,1879.791668,0,37.62535252,126.9148871
11380552,은평구,갈현2동,0,2627.66841,0,37.6182836,126.9121235
11380560,은평구,구산동,0,3410.99897,0,37.61106366,126.9076465
11380570,은평구,대조동,0,4107.50277,0,37.61227984,126.923095
11380580,은평구,응암1동,0,2889.742026,0,37.59825533,126.9269001
11380590,은평구,응암2동,0,2562.480736,0,37.5918852,126.9230242
11380631,은평구,신사1동,0,2737.659174,0,37.59899369,126.9088428
11380632,은평구,신사2동,0,1650.21887,0,37.59289124,126.9062855
11380640,은평구,증산동,0,1418.214442,0,37.58378124,126.9058111
11380650,은평구,수색동,0,916.2318376,0,37.58577058,126.8949008
11380690,은평구,진관동,0,10576.67366,1,37.6392786,126.9405178
11380530,은평구,불광2동,0,2060.61154,0,37.62437284,126.9286503
11380600,은평구,응암3동,0,2109.767157,0,37.58865367,126.9177452
11380625,은평구,역촌동,0,5123.914369,0,37.60456887,126.9145295
11410520,서대문구,천연동,0,1804.930296,0,37.57121447,126.9571405
11410620,서대문구,홍제1동,1,2458.308675,0,37.58154125,126.9452007
11410640,서대문구,홍제3동,0,1691.515932,0,37.59202283,126.9511599
11410655,서대문구,홍제2동,0,1103.147736,0,37.58454681,126.9525258
11410660,서대문구,홍은1동,0,1503.415793,0,37.59997969,126.9470273
11410685,서대문구,홍은2동,0,2537.778571,0,37.58699157,126.9321738
11410690,서대문구,남가좌1동,0,1375.784652,0,37.57169443,126.9162014
11410700,서대문구,남가좌2동,0,1842.483232,0,37.57762435,126.9213304
11410710,서대문구,북가좌1동,0,2343.071468,0,37.57526769,126.9080032
11410720,서대문구,북가좌2동,0,4380.127407,1,37.58100351,126.9135009
11410565,서대문구,충현동,0,2625.999736,1,37.56390859,126.9580981
11410555,서대문구,북아현동,0,3885.339871,1,37.55924765,126.9555167
11410585,서대문구,신촌동,0,1972.325793,1,37.56363566,126.9410629
11410615,서대문구,연희동,1,3077.387335,1,37.57200573,126.9327348
11440590,마포구,용강동,0,4432.113192,1,37.54058865,126.9412701
11440600,마포구,대흥동,0,1442.12383,0,37.55212202,126.9414005
11440610,마포구,염리동,0,1526.900681,0,37.549825,126.9475469
11440630,마포구,신수동,0,2081.436408,0,37.54362572,126.9336424
11440660,마포구,서교동,0,2378.373008,1,37.55477218,126.9209483
11440680,마포구,합정동,1,1340.126542,0,37.54687455,126.9088414
11440690,마포구,망원1동,0,1444.605198,0,37.55275257,126.9002062
11440700,마포구,망원2동,0,1668.935709,0,37.55712018,126.8956802
11440710,마포구,연남동,0,1063.609056,0,37.56302992,126.9215449
11440720,마포구,성산1동,0,1978.218254,0,37.56198238,126.9118453
11440730,마포구,성산2동,0,3716.773913,1,37.56810577,126.9020429
11440740,마포구,상암동,0,5331.675209,1,37.57179302,126.8808606
11440585,마포구,도화동,0,1818.54897,0,37.53703989,126.9468072
11440655,마포구,서강동,0,2103.287245,0,37.54594625,126.9251579
11440565,마포구,공덕동,0,3631.228829,1,37.54911941,126.9577856
11440555,마포구,아현동,0,3899.566706,0,37.55192606,126.9528414
11470510,양천구,목1동,0,7341.318454,1,37.52744429,126.8750988
